SERIAL,BMG_ID2,QUINTILE,OA11,SUPERGROUP,GROUPCODE,SUBGROUPCODE,QUINTILE_N,GROUP,SUBGROUP,WARD,QGEN,QAGE,QAGEBND,QETH,Q1,Q2,Q3,Q4,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,Q5H,Q5I,Q5J,Q5K,Q5L,Q5M,Q5N,Q5O,Q5P,Q5Q,Q5R,Q5S,Q5T,Q5U,Q5V,Q5W,Q5X,Q5Y,Q5Z,Q5AA,Q5AB,Q5AC,Q5AD,Q5AE,Q5AF,Q5AG,Q5AH,Q5CQ,Q5CR,Q5CS,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,Q6K,Q6L,Q6M,Q6N,Q6O,Q6P,Q6Q,Q6R,Q6S,Q6T,Q6U,Q6V,Q6W,Q6X,Q6Y,Q6Z,Q6AA,Q6AB,Q6AC,Q6AD,Q6AE,Q6AF,Q6AG,Q6AH,Q6AI,Q6AJ,Q6AK,Q6AL,Q6AM,Q6CQ,Q6CR,Q6CS,Q8NA,Q8NB,Q8NC,Q8ND,Q8NE,Q8NF,Q8NG,Q8NH,Q8NI,Q8NJ,Q8NK,Q8NL,Q8NM,Q8NN,Q8NO,Q8NP,Q8NQ,Q8NR,Q8NS,Q8NT,Q8NU,Q8NV,Q8NW,Q8NX,Q8NY,Q8NZ,Q8NAA,Q8NAB,Q8NAC,Q8NAD,Q8NAE,Q8NAF,Q8NAG,Q8NAH,Q8NAI,Q8NAJ,Q8NAK,Q8NAL,Q8NAM,Q8NAN,Q8NCO,Q8NCP,Q8NCQ,Q8NCR,Q8NCS,Q8NCT,Q10,Q11,Q12,Q13_R1,Q13_R2,Q13_R3,Q13_R4,Q13_R5,Q13_R6,Q13_R7,Q13_R8,Q14,Q14A,Q14CA,Q14CB,Q14CC,Q14CD,Q14CE,Q14CF,Q14CCQ,Q14CCS,Q15_R1,Q15_R2,Q15_R3,Q15_R4,Q15_R5,Q15_R6,Q15_R7,Q15_R8,Q15_SCORE,Q15_SCOREBND,Q16,Q17,Q19,Q21,Q24_R1,Q24_R2,Q24_R3,Q24_R4,Q24_R5,Q24_R6,Q25,Q26A,Q26B,Q26C,Q26D,Q26E,Q26F,Q26G,Q26CQ,Q26CS,Q29A,Q29B,Q29C,Q29D,Q29E,Q29F,Q29G,Q29H,Q29I,Q29bb,Q30,Q32,Q33A,Q33B,Q33C,Q33D,Q34,Q35,Q36_R1,Q36_R2,Q36_R3,Q36_R4,Q36_R5,Q37,Q38A,Q38B,Q38C,Q38D,Q38E,Q38F,Q38G,Q38H,Q38I,Q38J,Q38K,Q38L,Q38CQ,Q38CS,Q39A,Q39B,Q39C,Q39D,Q39E,Q39F,Q39G,Q39H,Q39I,Q39J,Q39K,Q39L,Q39M,Q39N,Q39O,Q39P,Q39Q,Q39R,Q39S,Q39T,Q39U,Q39V,Q39CQ,Q39CR,Q39CS,Q40,Q41_A_R1,Q41_B_R1,Q41_C_R1,Q41_D_R1,Q41_E_R1,Q41_F_R1,Q41_G_R1,Q41_H_R1,Q41_I_R1,Q41_J_R1,Q41_K_R1,Q41_L_R1,Q41_M_R1,Q41_N_R1,Q41_O_R1,Q41_P_R1,Q41_Q_R1,Q41_R_R1,Q42NA,Q42NB,Q42NC,Q42ND,Q42NCQ,Q42NCR,Q42NCS,Q42NCT,Q43,Q44,Q45A,Q45B,Q45C,Q45D,Q45E,Q45F,Q45G,Q45H,Q45I,Q45J,Q45K,Q45CQ,Q45CR,Q45CS,Q45CT,Q46,Q47,Q48,Q49,Q50A,Q50B,Q50C,Q50D,Q50E,Q50F,Q50G,Q50H,Q50CQ,Q50CR,Q50CS,Q51,Q52,Q53,Q54,Q55,Q56,WEIGHT
70496937,939311578,2,E00015270,3,3d,3d1,2,11,29,3,2,#NULL!,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,1,1,2,1,3,2,2,2,3,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,3,2,2,3,4,2,2,11,1,2,2,3,4,2,5,3,3,3,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,11,11,10,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,5,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,1,1,0,0,0,1,1,0,0,0,0,0,2,3,1,2,2,#NULL!,0.6
70496939,939303535,2,E00015270,3,3d,3d1,2,11,29,3,2,35,3,1,2,2,5,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,2,2,2,2,3,2,2,2,4,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,2,1,3,5,3,2,2,12,1,2,2,3,3,5,3,2,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,11,10,10,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,4,5,5,5,4,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0.5
70496940,939306304,2,E00015270,3,3d,3d1,2,11,29,3,1,64,5,1,2,2,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,3,4,3,3,2,4,4,3,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,3,2,4,4,4,3,2,7,1,1,1,2,4,5,5,5,5,5,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,11,11,11,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,4,4,4,4,4,6,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,6,1,1,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,1,1.2
70496941,939308011,1,E00015261,5,5a,5a2,1,15,41,3,2,70,6,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,2,2,2,2,2,2,2,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,2,4,4,4,2,2,6,1,1,3,2,4,2,2,3,3,4,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,1,0,0,0,0,0,0,0,4,1,1,10,10,11,1,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,#NULL!,6,1,1,0,0,0,0,1,0,0,0,0,0,2,96,1,2,2,#NULL!,0.3
70496942,939308961,2,E00015270,3,3d,3d1,2,11,29,3,2,34,2,95,2,2,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,1,1,1,1,1,1,2,1,1,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,2,1,1,1,1,1,1,21,2,1,2,1,4,2,3,3,3,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,9,9,6,7,2,5,1,1,1,1,1,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,#NULL!,4,1,1,1,0,0,0,1,0,0,0,0,0,2,6,1,2,2,#NULL!,0.3
70496943,939306439,2,E00015270,3,3d,3d1,2,11,29,3,2,38,3,1,4,5,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,5,3,2,4,2,2,2,2,3,4,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,4,1,1,3,3,4,2,12,1,3,3,4,4,2,3,2,3,2,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,3,1,8,9,8,8,1,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,#NULL!,3,#NULL!,4,1,#NULL!,#NULL!,1,1,1,1,1,4,1,#NULL!,#NULL!,1,0,0,0,1,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0.5
70496944,939301633,1,E00015261,5,5a,5a2,1,15,41,3,1,70,6,1,1,4,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,2,2,2,1,2,3,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,3,3,4,4,3,3,3,5,1,2,2,3,4,3,3,2,3,3,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,2,8,8,7,6,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,4,5,5,5,4,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,6,1,1,0,0,0,0,1,0,0,0,0,0,2,95,1,2,1,1,3.2
70496945,939304004,1,E00015261,5,5a,5a2,1,15,41,3,2,70,6,1,1,3,6,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,6,2,4,2,4,4,4,4,8,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,3,2,3,3,3,3,3,9,1,1,1,4,4,4,3,3,3,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,2,9,11,10,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1,1,0,1,0,0,0,0,0,0,0,0,2,1,1,2,2,#NULL!,1.8
70504379,939313814,5,E00015627,2,2d,2d3,5,7,21,11,2,56,5,10,2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,1,1,1,1,1,1,1,1,5,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,3,4,4,4,4,4,1,1,1,2,4,3,1,3,2,3,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,1,0,0,0,0,1,0,0,3,6,3,11,10,10,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,5,5,5,5,5,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,#NULL!,4,1,1,0,0,0,0,1,0,0,0,0,0,2,96,1,2,1,1,0.6
70504523,939313815,5,E00015627,2,2d,2d3,5,7,21,11,2,55,5,1,2,2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,2,2,2,4,4,2,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,4,4,0,1,2,1,3,4,3,3,2,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,1,0,0,0,0,0,4,2,2,9,9,10,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,6,1,1,0,0,0,0,1,0,0,0,0,0,2,96,1,2,1,1,0.6
70505357,939313819,5,E00015627,2,2d,2d3,5,7,21,11,1,20,1,1,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,4,2,1,1,2,3,1,1,2,1,3,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,3,4,3,4,3,4,3,1,1,1,4,3,5,5,5,5,5,5,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,0,0,0,1,3,3,2,8,4,8,4,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,5,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,#NULL!,6,1,1,0,0,1,0,1,0,0,0,0,0,2,96,1,2,1,1,1.5
70506148,939304513,3,E00015305,3,3d,3d3,3,11,31,4,1,26,2,6,1,2,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,1,1,2,1,4,4,2,2,3,1,2,3,1,0,0,0,0,0,0,0,3,3,1,3,3,3,4,3,9,1,2,2,3,3,4,4,4,4,4,4,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,0,0,0,1,2,1,4,9,8,9,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,#NULL!,1,#NULL!,1,1,#NULL!,#NULL!,1,1,1,1,1,1,1,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,1,1
70506267,939313940,5,E00015627,2,2d,2d3,5,7,21,11,2,42,3,6,4,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,4,1,2,3,2,2,4,4,7,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,3,3,4,3,2,3,4,6,1,1,3,3,3,3,2,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,9,8,9,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,3,5,5,5,5,5,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,95,1,0,1,0,0,1,0,0,0,0,0,2,3,1,2,2,#NULL!,0.5
70506487,939300249,3,E00015305,3,3d,3d3,3,11,31,4,1,35,3,1,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,2,2,1,2,3,2,1,1,3,4,0,0,0,0,0,0,1,0,3,3,2,4,5,3,2,2,9,1,1,1,5,3,3,1,1,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,3,9,9,9,3,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,2,5,5,5,4,5,5,4,2,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,1,0,1,0,1,1,0,0,0,0,0,2,3,1,1,2,#NULL!,0.6
70506616,939313820,5,E00015627,2,2d,2d3,5,7,21,11,1,36,3,1,3,3,3,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,4,2,2,1,1,1,2,3,2,2,2,3,0,0,0,1,0,0,0,0,4,4,4,4,4,4,3,4,1,1,2,1,3,4,5,5,5,5,5,5,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,0,0,0,1,3,1,1,9,8,8,1,2,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,4,1,1,0,0,0,0,1,0,0,0,0,0,2,3,1,2,2,#NULL!,0.7
